Time (min),Abs1,Abs2,Abs3,Abs4,Abs5
0,0.00925,0.01625,-0.00675,       ,-0.01875
10,       ,       ,        ,0.12825,        
15,       ,       ,        ,0.16725,        
30,0.26825,0.25125,0.22725 ,0.20725,0.10025 
