Time (min),Abs1,Abs2,Abs3
0,-0.02165,0.08335,-0.0617
15,0.21335,0.30535,0.5688
30,0.54535,0.72935,1.01275
40,0.69235,0.87235,1.20515
45,0.78135,0.92735,1.2773
50,0.85735,1.04835,1.3605
55,0.86335,0.83535,1.45605
60,1.01935,1.16835,1.4788
