Time (min),Abs1,Abs2,Abs3
0,0.0326666666666666,-0.0253333333333333,-0.00733333333333333
15,0.158666666666667,0.0986666666666667,0.0916666666666667
30,0.301666666666667,0.231666666666667,0.250666666666667
45,0.436666666666667,0.331666666666667,0.349666666666667
60,0.485666666666667,0.411666666666667,0.427666666666667
75,0.550666666666667,0.491666666666667,0.495666666666667
90,0.635666666666667,0.533666666666667,0.560666666666667
105,0.700666666666667,0.667666666666667,0.700666666666667
120,0.751666666666667,0.786666666666667,0.771666666666667
