Time (min),Abs1,Abs2,Abs3,Abs4
0,0.01265,0.00465,-0.00935,-0.00795
15,0.54365,0.59565,        ,0.38365
30,0.68265,0.68565,        ,0.51865
35,0.82165,0.75265,        ,0.62065
45,0.84865,0.79865,        ,0.70365
55,0.85565,0.85765,        ,0.76065
65,0.90765,0.89465,        ,0.82165
75,0.90965,0.93365,        ,0.89265
85,0.97365,0.99765,        ,0.93865
