Time (min),Abs1,Abs2,Abs3,Abs4
0,-0.0569999999999999,0.0570000000000004,       ,     
5,0.024,0.165,-0.0184,0.094
10,0.114,0.244,       ,     
15,0.33,0.294,-0.0008,0.187
25,0.358,0.356,0.1336 ,0.336
