Time (min),Abs1,Abs2,Abs3
0,0.0303333333333333,0.0213333333333333,-0.0516666666666667
15,0.0663333333333333,0.0303333333333333,0.0173333333333333
30,0.188333333333333,0.124333333333333,0.118333333333333
45,0.272333333333333,0.174333333333333,0.153333333333333
60,0.317333333333333,0.221333333333333,0.201333333333333
75,0.354333333333333,0.263333333333333,0.243333333333333
90,0.403333333333333,0.305333333333333,0.268333333333333
105,0.460333333333333,0.376333333333333,0.337333333333333
120,0.494333333333333,0.418333333333333,0.387333333333333
