Time (min),Abs1,Abs2,Abs3,Abs4
0,-0.0206,0.0514,-0.0452,0.0144
15,0.3484,0.5114,0.35   ,0.6444
30,0.5384,1.0054,0.8404 ,1.0364
40,1.1174,1.3204,1.0348 ,1.2874
50,1.2264,1.5334,1.214  ,1.4724
60,1.5774,1.7194,1.63   ,1.6894
70,1.6324,1.8964,1.6524 ,1.8404
75,1.8394,1.9534,       ,      
80,1.9204,2.0614,1.878  ,1.9904
85,2.0104,2.1404,       ,      
90,2.2264,2.1904,1.8956 ,2.0834
100,2.2544,2.2524,2.03   ,2.2324
