Time (min),Abs1,Abs2,Abs3
0,0.03,-0.103,0.073
15,0.045,-0.042,0.522
30,0.177,0.096,0.604
40,0.327,0.038,0.787
45,0.338,0.039,0.762
50,0.386,0.019,0.792
55,0.394,0.039,0.749
60,0.399,0.048,0.784
