Time (min),Abs1,Abs2,Abs3,Abs4
0,0.013940836450187,0.0547432845970758,0,0.0337753598549246
15,0.223053383202992,0.315425592202199,0.223960104272923,0.390796781140202
30,0.330726510257282,0.595375722543352,0.501870112206732,0.612943443273263
40,0.658846197438513,0.773886433185991,0.612036722203332,0.755185311118667
50,0.720616570327553,0.894593675620537,0.713589482035589,0.860024934829423
60,0.919528505043636,1,0.949336960217613,0.982998979938796
