Time (min),Abs1,Abs2,Abs3
0,0,0.0296157180005779,0.0296157180005779
50,0.357873446980641,0.32551285755562,0.304016180294713
65,0.529846865067899,0.490320716555909,0.457497832996244
90,0.62045651545796,0.602427044206877,0.56498121930078
105,0.748049696619474,0.707367812770875,0.656284310892805
120,0.828720023114707,0.782028315515747,0.732562843108928
135,0.90222479052297,0.845824906096504,0.80583646344987
150,0.952383704131754,0.958393527882115,0.890436290089569
165,1,0.980121352210344,0.924646056053164
