Time (min),Abs1,Abs2,Abs3,Abs4
0,0.0218470705064548,0.0139026812313803,0,0.00139026812313803
15,0.549155908639523,0.600794438927507, ,0.390268123138034
30,0.687189672293942,0.690168818272095, ,0.524329692154915
35,0.825223435948361,0.756703078450844, ,0.625620655412115
45,0.852035749751738,0.802383316782522, ,0.708043694141013
55,0.858987090367428,0.860973187686196, ,0.764647467725918
65,0.910625620655412,0.897715988083416, ,0.825223435948361
75,0.912611717974181,0.936444885799404, ,0.895729890764647
85,0.976166832174776,1, ,0.941410129096326
