Row,MaxN,kn,MaxD,kd
Fig3.auVF1,0.515197372710633,0.00596926129901647,0.4373663145984,0.0115862552750352
Fig3.auVF2,0.798241988745917,0.0096667710063854,0.861365067245351,0.0187983411447249
Fig7.shVF.DS,0.987916368193844,0.010448759245859,0.751393939125391,0.0349456100498332
