Time (min),Abs1,Abs2,Abs3,Abs4,Abs5
0, ,       ,       ,0.166666666666667, 
0, ,       ,       ,0.166666666666667, 
2.23606797749979, ,       ,       ,0.398809523809524, 
4.47213595499958,1,0.89881,0.75595,0.636904761904762,0
