Time (min),Abs1,Abs2,Abs3,Abs4,Abs5
0,      ,      ,       ,0.618556701030928,0      
0,      ,      ,       ,0.618556701030928,0      
2.23606797749979,      ,      ,       ,0.876288659793815,       
3.87298334620742,0.4433,0.7732,0.90206,1,0.25773
