Time (min),Abs1,Abs2,Abs3,Abs4,Abs5
0,0.097561,0.12195,0.041812,       ,0      
10,        ,       ,        ,0.5122 ,       
15,        ,       ,        ,0.64808,       
30,1       ,0.94077,0.85714 ,0.78746,0.41463
