Time (min),Abs1,Abs2,Abs3
0,0.0714285714285714,0,0.0221674876847291
15,0.226600985221675,0.152709359605911,0.144088669950739
30,0.402709359605911,0.316502463054187,0.339901477832512
45,0.568965517241379,0.439655172413793,0.461822660098522
60,0.629310344827586,0.538177339901478,0.557881773399015
75,0.70935960591133,0.636699507389163,0.641625615763547
90,0.814039408866995,0.688423645320197,0.721674876847291
105,0.894088669950739,0.853448275862069,0.894088669950739
120,0.956896551724138,1,0.981527093596059
