Time (min),Abs1,Abs2,Abs3,Abs4,Abs5
0,0      ,0.4   ,0.23043,0.239130434782609,0.14348
15,       ,      ,       ,0.678260869565217,0.15652
20,       ,      ,       ,0.895652173913044,       
30,0.53043,0.8087,0.91739,1,0.37391
